oid,noid,file,packageType,workflow_step,owner,title,description,status,date_created,date_modified,rules_oid
,,,dmpt,,ItZfqB0Pus_2iDRMdvekzAHzk-k,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
5835bab3df4174c03925805333d1a918,,,dmpt,,uSADyrN4OszhPdH-354zlQfQZ6c,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,z9QkhZ0g2gtQIbqUEUJ0bRH7ZZ8,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
e23119aa1d12f8bf949dfa39c7f732bb,,,dmpt,,X4OeuZXimUI_lzwJF5BxRu9JBBE,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,uSADyrN4OszhPdH-354zlQfQZ6c,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
247ccaaffa685cbcd328f727df95a338,,,dmpt,,gX-NtAuzXdsVGIORJ7Tg7CA_ALE,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
aec4a2a369e2b964fb7fddc892663b42,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
b96a3db82962a387e91c1796f9bcf774,,,dmpt,,He7PkyCUVx00WKjkts8DidMLiMo,Master of research,,invalid: Missing value for contributor_data_manager,,,
154da97118c02c0bb915f4dacfda0d14,bce119ca2c8dc7c0b93c6b9efa5758b4,,dmpt,,admin,"Elevated CO2 affects reproduction and embryonic development in the pygmy squid, Idiosepius pygmaeus",,set: [object Object],,,
,,,dmpt,,KscU-lqeVJrHSoGs1UTPUQ0gVCQ,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
f82d5ddd3e0f6f6369007341698b5810,a32a3e674bb33ea48e41ed5c1a06793e,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,Collin's PhD,,set: [object Object],,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,_vMjv0cHJFmr-RNiY6ztOpKmUco,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,guest,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
c3fe686ee391dc1f6ba679c1cb1cfa1b,,,dmpt,,-tXjV5YqwvDwrSyZQQIVIkW3Nu0,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
0bcc45fdb9cdf455fc36ea4ff91935cd,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
